Expected date,Region,State,Substation,Application ID,Applicant,Type,Installed (MW),Deemed GNA (MW)
31-10-2030,NR,Rajasthan,Barmer-III,2200000954,VISMAYA FIVE RENEWABLES PRIVATE LIMITED,Solar,250,250
30-06-2030,NR,Rajasthan,Sanchore,2200000946,HR SARASWATI ENERGY PRIVATE LIMITED,Solar,300,300
30-06-2030,NR,Rajasthan,Barmer-III,2200000973,NTPC RENEWABLE ENERGY LIMITED,Solar,100,100
30-06-2030,NR,Rajasthan,Jalore,2200000886,RENEW SOLAR POWER PRIVATE LIMITED,Solar,100,100
30-06-2030,NR,Rajasthan,Jalore,2200000890,RENEW SOLAR POWER PRIVATE LIMITED,Solar,100,100
30-06-2030,NR,Rajasthan,Jalore,2200000850,RENEW SOLAR POWER PRIVATE LIMITED,Solar,300,300
30-06-2030,NR,Rajasthan,Jalore,2200000889,RENEW SOLAR POWER PRIVATE LIMITED,Solar,100,100
30-06-2030,NR,Rajasthan,Jalore,2200001006,Sprng Vaayu Urja Private Limited,Solar,600,600
30-06-2030,NR,Rajasthan,Jalore,2200000888,RENEW SOLAR POWER PRIVATE LIMITED,Solar,200,200
30-06-2030,NR,Rajasthan,Jalore,2200000887,RENEW SOLAR POWER PRIVATE LIMITED,Solar,200,200
01-04-2030,NR,Rajasthan,Bhadla-IV,2200000910,VISMAYA FOUR RENEWABLES PRIVATE LIMITED,Solar,250,250
31-03-2030,NR,Rajasthan,Bhadla-IV,2200000516,RENEW SOLAR POWER PRIVATE LIMITED,Solar,300,300
31-03-2030,NR,Rajasthan,Bhadla-IV,2200000605,ARAVALLI SURYA (PROJECT 1) PRIVATE LIMITED,Solar,335,335
31-03-2030,NR,Rajasthan,Bhadla-IV,2200000522,RENEW SOLAR POWER PRIVATE LIMITED,Solar,300,300
31-03-2030,NR,Rajasthan,Bhadla-IV,2200000521,RENEW SOLAR POWER PRIVATE LIMITED,Solar,200,200
31-03-2030,NR,Rajasthan,Bhadla-IV,2200000875,DEMETER SUN POWER PRIVATE LIMITED,Solar,300,300
31-03-2030,NR,Rajasthan,Bikaner-V,2200000755,SA RENEWABLE INFRA PRIVATE LIMITED,Solar,100,100
31-03-2030,NR,Rajasthan,Bikaner-V,2200000796,VENA ENERGY VINDHYA WIND POWER PRIVATE LIMITED,Solar,300,300
31-03-2030,NR,Rajasthan,Bikaner-V,2200000866,SOLARCRAFT POWER INDIA 8 PRIVATE LIMITED,Solar,300,300
31-03-2030,NR,Rajasthan,Bhadla-IV,2200000811,ADANI RENEWABLE ENERGY HOLDING FOUR LIMITED,Solar,765,765
31-03-2030,NR,Rajasthan,Ramgarh-II,2200000797,JSW NEO ENERGY LIMITED,Solar,700,700
31-03-2030,NR,Rajasthan,Bikaner-V,2200000726,NTPC RENEWABLE ENERGY LIMITED,Solar,1000,1000
31-03-2030,NR,Rajasthan,Ramgarh-II,2200000777,RENEW SOLAR POWER PRIVATE LIMITED,Solar,400,400
31-03-2030,NR,Rajasthan,Bhadla-IV,2200000761,KANTIDA RENEWABLES INDIA PROJECT PRIVATE LIMITED,Solar,300,300
31-03-2030,NR,Rajasthan,Ramgarh,2200000672,Tata Power Renewable Energy Limited,Solar,600,600
31-12-2029,NR,Rajasthan,Barmer-II,2200000906,NTPC RENEWABLE ENERGY LIMITED,Solar,500,500
31-12-2029,NR,Rajasthan,Barmer-II,2200000408,GREEN INFRA CLEAN SOLAR FARMS LIMITED,Solar,130,130
31-12-2029,NR,Rajasthan,Barmer-II,2200000856,SERENTICA RENEWABLES INDIA 11 PRIVATE LIMITED,Solar,250,250
31-12-2029,NR,Rajasthan,Barmer-II,2200000810,ADANI RENEWABLE ENERGY HOLDING FOUR LIMITED,Solar,717,717
31-12-2029,NR,Rajasthan,Barmer-II,2200000681,Sprng Urja Private Limited,Solar,1000,1000
31-12-2029,NR,Rajasthan,Barmer-II,2200000807,ADANI RENEWABLE ENERGY TWO LIMITED,Wind,600,600
31-12-2029,NR,Rajasthan,Bikaner-V,2200000561,AVAADA RJBIKANER PRIVATE LIMITED,Solar,136,136
31-12-2029,WR,Gujarat,Raghanesda PS,2200000650,SPRNG VAYU KIRAN PRIVATE LIMITED,Solar,200,200
31-12-2029,NR,Rajasthan,Barmer-II,2200000636,AVAADA ENERGY PRIVATE LIMITED,Solar,450,450
31-12-2029,NR,Rajasthan,Barmer-II,2200000715,AMARESHA RENAWABLES INDIA PROJECT PRIVATE LIMITED,Solar,300,0
31-12-2029,WR,MP,Mandsaur PS,2200000824,Sprng Green Energy 2 Private Limited,Solar,600,600
31-12-2029,NR,Rajasthan,Barmer-II,2200000580,AVAADA ENERGY PRIVATE LIMITED,Solar,500,500
31-12-2029,NR,Rajasthan,Barmer-II,2200000531,SPRNG RENEWABLE RESOURCES PRIVATE LIMITED,Solar,200,200
31-12-2029,NR,Rajasthan,Barmer-II,2200000668,JUNIPER GREEN ENERGY PRIVATE LIMITED,Hybrid (RHGS),180,180
31-12-2029,NR,Rajasthan,Barmer-II,2200000539,Sprng Urja Private Limited,Solar,200,200
31-12-2029,NR,Rajasthan,Barmer-II,2200000778,RENEW SOLAR POWER PRIVATE LIMITED,Solar,300,300
30-04-2029,WR,Gujarat,KPS3,2200000477,Adani Green Energy Limited,Hybrid (RHGS),75,75
30-04-2029,WR,Gujarat,KPS1,2200000478,Adani Green Energy Limited,Hybrid (RHGS),650,650
30-04-2029,WR,Gujarat,KPS1,2200000479,Adani Green Energy Limited,Hybrid (RHGS),100,100
30-04-2029,WR,Gujarat,KPS3,2200000785,ADANI GREEN ENERGY LIMITED,Wind,100 MW (Wind),100
30-04-2029,WR,Gujarat,KPS3,2200000953,ADANI GREEN ENERGY LIMITED,Hybrid (RHGS),1530 MW (Solar:1400 MW & Wind:130 MW),1530
30-04-2029,WR,Gujarat,KPS3,2200000603,ADANI GREEN ENERGY LIMITED,Wind,75,75
30-04-2029,WR,Gujarat,KPS3,2200000602,Adani Green Energy Limited,Hybrid (RHGS),65 MW (Solar: 50MW Wind: 35MW),65
30-04-2029,WR,Gujarat,KPS1,2200000784,ADANI GREEN ENERGY LIMITED,Wind,60 MW (Wind),60
30-04-2029,WR,Gujarat,KPS3,2200000786,ADANI GREEN ENERGY LIMITED,Wind,195 MW (Wind),195
31-03-2029,WR,Gujarat,Lakadiya PS,2200000511,JUNIPER GREEN ENERGY PRIVATE LIMITED,Solar,200,200
31-01-2029,NR,Rajasthan,Ramgarh,2200000452,PRAVAT RENEWABLES INDIA PROJECT PRIVATE LIMITED,Solar,300,300
31-12-2028,NR,Rajasthan,Ramgarh,2200000599,ADANI RENEWABLE ENERGY HOLDING FOUR LIMITED,Solar,500,500
31-12-2028,NR,Rajasthan,Ramgarh,2200000598,ADANI RENEWABLE ENERGY HOLDING FOUR LIMITED,Solar,500,500
31-12-2028,NR,UP,Robertsganj,2200000553,AVAADA WATERBATTERY PRIVATE LIMITED,Pump Storage,1120,1120
31-12-2028,NR,Rajasthan,Ramgarh,2200000618,MIGOS HYBREN PRIVATE LIMITED,Solar,600,600
31-12-2028,NR,Rajasthan,Bhadla-III,2200000360,PRERAK SOLAR URJA PRIVATE LIMITED,Solar,400,400
31-12-2028,NR,Rajasthan,Bhadla-III,2200000407,AVAADA ENERGY PRIVATE LIMITED,Solar,1000,300
31-12-2028,WR,Gujarat,Raghanesda PS,2200000614,SPRNG OJAS PRIVATE LIMITED,Solar,200,200
31-12-2028,NR,Rajasthan,Ramgarh,2200000499,JUNIPER GREEN ENERGY PRIVATE LIMITED,Solar,150,150
31-12-2028,NR,Rajasthan,Ramgarh,2200000550,JUNIPER GREEN ENERGY PRIVATE LIMITED,Solar,150,150
01-11-2028,WR,Maharashtra,South Kalamb,2200000176,THE TATA POWER COMPANY LIMITED,Pump Storage,1980,1980
30-09-2028,SR,AP,Anantapur-II PS,2200000820,GREEN INFRA WIND ENERGY PRIVATE LIMITED,Solar,300,300
30-09-2028,WR,Gujarat,KPS-2,2200000159,GUJARAT INDUSTRIES POWER COMPANY LTD.,Solar,2375,1775
01-09-2028,NR,Rajasthan,Bhadla-III,2200000300,SOLARCRAFT POWER INDIA 4 PRIVATE LIMITED,Solar,50,50
01-09-2028,NR,Rajasthan,Bhadla-III,2200000275,RENEW SOLAR (SHAKTI SIX) PRIVATE LIMITED,Solar,400,400
01-09-2028,NR,Rajasthan,Bhadla-III,2200000266,MALUR RENEWABLES PRIVATE LIMITED,Solar,650,650
01-09-2028,NR,Rajasthan,Bhadla-III,2200000309,RENEW SOLAR (SHAKTI SIX) PRIVATE LIMITED,Solar,400,400
01-07-2028,NR,Rajasthan,Bhadla-III,2200000232,GREEN INFRA CLEAN ENERGY GENERATION LIMITED,Solar,300,300
01-07-2028,NR,Rajasthan,Bhadla-III,2200000192,SOLARCRAFT POWER INDIA 4 PRIVATE LIMITED,Solar,110,110
01-07-2028,NR,Rajasthan,Bhadla-III,2200000152,SOLARCRAFT POWER INDIA 4 PRIVATE LIMITED,Solar,150,150
30-06-2028,WR,Gujarat,Raghanesda PS,2200000612,SPRNG WIND ENERGY PRIVATE LIMITED,Solar,200,200
30-06-2028,WR,MP,Rajgarh SS,2200000819,SPRNG VAYU VIDYUT PRIVATE LIMITED,Wind,16.8,16.8
30-06-2028,WR,Gujarat,Jam Khambhaliya PS,2200000379,JUNIPER GREEN ENERGY PRIVATE LIMITED,Wind,200,200
30-06-2028,NR,Rajasthan,Fatehgarh-IV PS (Sec-II),2200000034,Sprng Pavana Urja Private Limited,Solar,150,150
30-06-2028,WR,MP,Mandsaur PS,2200000428,JUNIPER GREEN ENERGY PRIVATE LIMITED,Wind,300,300
30-06-2028,NR,Rajasthan,Bhadla-III,2200000118,FRUGAL ENERGY PRIVATE LIMITED,Solar,250,250
30-06-2028,NR,Rajasthan,Bhadla-III,2200000144,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,Solar,300,300
31-03-2028,NR,Rajasthan,Sirohi,2200000743,IZHMA SOLAR PRIVATE LIMITED,Solar,200,200
29-02-2028,SR,AP,Anantapur PS,2200000583,RENEW VIKRAM SHAKTI PRIVATE LIMITED,Wind,140,140
01-01-2028,WR,Maharashtra,South Kalamb,2200000177,THE TATA POWER COMPANY LIMITED,Pump Storage,1150,1150
31-12-2027,SR,Karnataka,Bidar PS,2200000893,AMP ENERGY C&I THIRTEEN PRIVATE LIMITED,Hybrid (RHGS),68.9 (Solar-50; Wind 18.9),50
